1 4 1 Liver, Foot, Gall Bladder, Shoulder,
2 4 1 Colon, Heart, Heart, Colon,
3 4 1 Lung, Foot, Colon, Foot,
4 4 1 Mouth, Hair, Hair, Heart,
5 4 1 Foot, Foot, Kidney, Foot,
1 4 2 Lung, Mouth, Shoulder, Mouth,
2 4 2 Colon, Heart, Liver, Lung,
3 4 2 Foot, Colon, Shoulder, Colon,
4 4 2 Kidney, Foot, Heart, Lung,
5 4 2 Kidney, Liver, Colon, Gall Bladder,
1 3 3 Liver, Hair, Foot,
2 3 3 Colon, Foot, Mouth,
3 3 3 Liver, Lung, Liver,
4 3 3 Shoulder, Mouth, Gall Bladder,
5 3 3 Colon, Colon, Shoulder,
1 3 4 Lung, Mouth, Lung,
2 3 4 Gall Bladder, Mouth, Kidney,
3 3 4 Mouth, Foot, Kidney,
4 3 4 Lung, Kidney, Lung,
5 3 4 Foot, Foot, Lung,
1 3 5 Lung, Colon, Liver,
2 3 5 Colon, Mouth, Kidney,
3 3 5 Liver, Heart, Shoulder,
4 3 5 Lung, Foot, Lung,
5 3 5 Foot, Mouth, Foot,
1 3 6 Mouth, Mouth, Lung,
2 3 6 Gall Bladder, Mouth, Gall Bladder,
3 3 6 Colon, Foot, Kidney,
4 3 6 Lung, Shoulder, Gall Bladder,
5 3 6 Lung, Gall Bladder, Gall Bladder,
