 Treatment Type, Code Classification, Code
 Biopsy, CPT," 61140, 61750, 61751"
 Diagnostic Imaging, CPT," 70450 – 70470, 70551 – 70553, 78607 – 78608"
 Radiation Therapy, ICD-9-CM," 92.23–92.24, 92.30–92.33, and 92.39."
, CPT," 77261–77263, 77280, 77285, 77290, 77295, 77299–77301, 77305, 77310, 77315, 77321, 77332- 77334, 77336–77337, 77370–77372, 77399, 77402–77414, 77416, 77418–77420, 77425, 77427, 77430, 77432, and 0073T."
, HCPCS," G0173-G0174, G0242-G0243, G0251, and G0338-G0340."
 Stereotactic radiosurgery, ICD-9-CM, 92.30–92.33 and 92.39.
, CPT," 61793, 61796–61800, 77371–77372, and 77432."
, HCPCS," G0173, G0242, G0243, G0251, G0338, G0339, and G0340."
 Neurosurgical resection, ICD-9-CM," 01.21–01.25, 01.31, 01.51, and 01.59."
, CPT," 61304–61305, 61312–61315, 61320–61321, 61330, 61332–61334, 61340, 61343, 61345, 61440, 61450, 61458, 61460, 61470, 61500–61501, 61510, 61512, 61514, 61516, 61518, 61519- 61522, 61524, 61526, 61530–61531, 61533–61536, 61538- 61539, 61541–61546, 61550, 61552, 61556–61559, 61563- 61564, 61570–61571, 61575–61576, 61580–61586, 61590–61592, 61596–61598, 61600–61601, 61605–61613, and 61615–61616."
